"","ime","leto","stevilo","spol"
"416","Bogomil",2008,204,"moski"
"417","Bogomir",2008,1343,"moski"
"418","Bogomir Mirko",2008,5,"moski"
"419","Bogosav",2008,8,"moski"
"420","Bogoslav",2008,37,"moski"
"421","Bogumil",2008,7,"moski"
"422","Bojan",2008,10625,"moski"
"423","Bojan Anton",2008,5,"moski"
"424","Bojan Franc",2008,6,"moski"
"425","Bojan Janez",2008,5,"moski"
"426","Bojko",2008,7,"moski"
"427","Boleslav",2008,20,"moski"
"428","Bolfenk",2008,7,"moski"
"429","Boltezar",2008,12,"moski"
"430","Bono",2008,13,"moski"
"431","Bor",2008,542,"moski"
"432","Bora",2008,15,"moski"
"433","Boran",2008,7,"moski"
"434","Borche",2008,5,"moski"
"435","Borce",2008,25,"moski"
"436","Borco",2008,8,"moski"
"437","Bore",2008,32,"moski"
"438","Boris",2008,8577,"moski"
"439","Boris Andrej",2008,6,"moski"
"440","Boris Franc",2008,5,"moski"
"441","Boris Ivan",2008,5,"moski"
"442","Boris Janez",2008,7,"moski"
"443","Boris Jozef",2008,11,"moski"
"444","Borisav",2008,13,"moski"
"445","Borislav",2008,391,"moski"
"446","Borisa",2008,5,"moski"
"447","Borivoj",2008,61,"moski"
"448","Borivoje",2008,43,"moski"
"449","Borja",2008,9,"moski"
"450","Borjan",2008,6,"moski"
"451","Borko",2008,66,"moski"
"452","Borna",2008,13,"moski"
"453","Boro",2008,243,"moski"
"454","Borut",2008,4395,"moski"
"455","Bosiljko",2008,6,"moski"
"456","Bosko",2008,270,"moski"
"457","Bostijan",2008,8,"moski"
"458","Bostjan",2008,10047,"moski"
"459","Bozidar",2008,1830,"moski"
"460","Bozidar Andrej",2008,5,"moski"
"461","Bozidar Darko",2008,6,"moski"
"462","Bozidar Jozef",2008,5,"moski"
"463","Bozin",2008,5,"moski"
"464","Bozislav",2008,6,"moski"
"465","Bozo",2008,722,"moski"
"466","Braco",2008,35,"moski"
"467","Brahim",2008,30,"moski"
"468","Braim",2008,7,"moski"
"469","Brane",2008,181,"moski"
"470","Branimir",2008,531,"moski"
"471","Branislav",2008,650,"moski"
"472","Branivoj",2008,16,"moski"
"473","Branivoje",2008,5,"moski"
"474","Branko",2008,11392,"moski"
"475","Branko Franc",2008,31,"moski"
"476","Branko Francisek",2008,9,"moski"
"477","Branko Jozef",2008,5,"moski"
"478","Brano",2008,10,"moski"
"479","Bratislav",2008,44,"moski"
"480","Bratko",2008,6,"moski"
"481","Brendon",2008,9,"moski"
"482","Brian",2008,10,"moski"
"483","Brin",2008,93,"moski"
"484","Bronislav",2008,18,"moski"
"485","Bruno",2008,878,"moski"
"486","Budimir",2008,52,"moski"
"487","Bujamin",2008,8,"moski"
"488","Bujar",2008,50,"moski"
"489","Burhan",2008,7,"moski"
"490","Burim",2008,65,"moski"
"491","Cane",2008,11,"moski"
"492","Carlo",2008,12,"moski"
"493","Celestin",2008,24,"moski"
"494","Cene",2008,64,"moski"
"495","Chris",2008,25,"moski"
"496","Christian",2008,135,"moski"
"497","Christopher",2008,12,"moski"
"498","Ciril",2008,2255,"moski"
"499","Ciril Janez",2008,5,"moski"
"500","Ciril Metod",2008,28,"moski"
"501","Claudio",2008,45,"moski"
"502","Cristian",2008,18,"moski"
"503","Csaba",2008,5,"moski"
"504","Cvetan",2008,15,"moski"
"505","Cvetko",2008,775,"moski"
"506","Cveto",2008,123,"moski"
"507","Cvijan",2008,15,"moski"
"508","Cvijetin",2008,55,"moski"
"509","Cvijo",2008,12,"moski"
"510","Cviko",2008,11,"moski"
"511","Cvjetko",2008,33,"moski"
"512","Caba",2008,7,"moski"
"513","Camil",2008,6,"moski"
